Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
industrial;Pyrene;Emission to soil;349d9ad5-b613-4423-afe2-f6c018d102e4;kg
unspecified soil;Diglycidyl resorcinol ether, technical grade;Emission to soil;2f2f9336-1d54-4007-a087-584ae13ab488;kg
forestry;difenzoquat;Emission to soil;bfe6c3ed-90f5-479d-8f77-32b4749b997b;kg
agricultural;Diethylene glycol;Emission to soil;bea7c514-3873-4ecf-8125-be55e7a50c9a;kg
unspecified soil;2,6-DINITROPHENOL;Emission to soil;cbb80af5-162a-4151-9105-1bf76ef618d4;kg
agricultural;Ammonium glyphosate;Emission to soil;0118dce3-0b46-4a97-a148-09db100d3e9a;kg
unspecified soil;GLYCINE;Emission to soil;c46656fe-5035-4780-810a-ed5db24909fb;kg
unspecified soil;PYRIDINE-2,6-DICARBOXYLIC ACID;Emission to soil;adbb0fa9-19e7-4902-9f36-89b8e1b44d58;kg
forestry;Glyoxal;Emission to soil;71ad35a3-86ab-40d6-8e69-93d04d0c710c;kg
industrial;S,S,S-tributyl phosphorotrithioate;Emission to soil;55cb2ca7-6f18-4e81-9f4a-821b69fb4c6c;kg
unspecified soil;ARETAN;Emission to soil;ce96cd0b-f3ac-4654-a212-1f5c6da1c0fd;kg
agricultural;Isoproturon;Emission to soil;04f9be83-433e-4564-af72-98e463e5b616;kg
agricultural;Herbicides, unspecified;Emission to soil;41625ba3-8bf4-4d2a-b634-fddcdf622282;kg
unspecified soil;1,1-Dichloroethylene;Emission to soil;e1d0dd6f-495b-4c09-b34e-cf4ab19a4a71;kg
unspecified soil;3-Pentanol;Emission to soil;519df2e8-3b67-4aae-bce5-2040b5295db5;kg
agricultural;Fenazaquin;Emission to soil;e98561c9-1156-3cf4-b62d-32edd67104fc;kg
industrial;Ioxynil;Emission to soil;f9d77bdb-8214-4eea-a39d-2eeb95d3e975;kg
unspecified soil;1,3-DIOXALANE;Emission to soil;a3657378-ebb2-4cf7-8b1f-28c9bb38ce25;kg
agricultural;Isodecanol;Emission to soil;c6f092fa-8630-4d4c-9348-0a56fc48aeb9;kg
unspecified soil;1,2,6-HEXANETRIOL;Emission to soil;56ec18c0-b326-4f0d-9f7b-de8db97a1f67;kg
unspecified soil;Methane, chloro-fluoro-, HCFC-31;Emission to soil;b079a61b-bf84-4299-9637-03b02cd9a896;kg
unspecified soil;Simazine;Emission to soil;007a9c38-0de9-49b2-909f-f42903798cea;kg
agricultural;Iron;Emission to soil;db364689-e1a3-4629-8835-e6c59d6daf09;kg
unspecified soil;Propanoic acid, 2-hydroxy-, octyl ester;Emission to soil;453483c0-94d1-4f9c-944c-981014913e3b;kg
unspecified soil;DIMETHYLPHENOL PHOSPHATE (3:1);Emission to soil;239e60a8-139d-40b2-8e5a-b2da99b77755;kg
agricultural;Fenpropathrin;Emission to soil;88575e69-d9c0-40be-ba7d-39073b7e621e;kg
agricultural;Methyl acetate;Emission to soil;5c2f85e0-3f10-42e2-a37b-7debcb9e0d41;kg
forestry;Fludioxonil;Emission to soil;bbba21e8-666a-4590-88b5-4c8bca3f16fc;kg
unspecified soil;Dimethomorph;Emission to soil;7610475e-74f3-41cc-88fc-4e63d8121781;kg
agricultural;Propoxur;Emission to soil;baba37aa-6b4d-48d2-bb3a-9308cbf1d22e;kg
unspecified soil;BROMOFENOXIM;Emission to soil;2f9cfb64-53ad-4dd7-82e5-59be5ce4bb5b;kg
unspecified soil;Fenfuram;Emission to soil;6390ff33-5b89-4925-aa73-004dd246ada9;kg
industrial;Naphthalene, 2-methyl-;Emission to soil;c97ffa63-3495-4c64-9183-48fc96b539b0;kg
unspecified soil;Acenaphthene;Emission to soil;115b1683-4f53-4f0c-94f8-1e9cd863ee4e;kg
industrial;Toxaphene;Emission to soil;8b476c1d-9069-414c-9fcb-2a56a62fea39;kg
unspecified soil;METHYLENE BLUE;Emission to soil;939332e9-39df-4862-a070-d453df744f9a;kg
unspecified soil;2-Chloro-1-phenylethanone;Emission to soil;6e214c03-b5d5-43a0-bf63-01f346d1b42f;kg
unspecified soil;2-DECANONE;Emission to soil;83823ea9-a907-4212-a155-83fd13fc5a94;kg
unspecified soil;Atrazine;Emission to soil;eb036c79-906b-4812-bba3-4908d3117886;kg
unspecified soil;BINAPACRYL;Emission to soil;2b736b8c-3281-4ee3-83ed-b87a6819e6c8;kg
forestry;Methamidophos;Emission to soil;4a61bfd4-e15d-4995-b92a-91623a796a51;kg
unspecified soil;TRIPROPYLAMINE;Emission to soil;2e09390a-61eb-4e65-861e-cb5b82f78490;kg
