Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
fresh water, long-term;Phthalate, dioctyl-;Emission to water;0f6ee911-be57-4f78-a751-23b280b75767;kg
ocean;Clopyralid;Emission to water;5dadc7b1-efd1-4c87-972c-03101358ba52;kg
surface water;Barium;Emission to water;2c872773-0a29-4831-93b9-d49b116fa7d5;kg
lake;Bensulfuron methyl ester;Emission to water;995f29f3-6f20-44dd-971e-048c389cc130;kg
lake;AOX, Adsorbable Organic Halogen as Cl;Emission to water;824f73d9-a7ed-45c9-a3f2-be62b45e76c6;kg
fresh water;Propane;Emission to water;fe0acd60-3ddc-11dd-a0c5-0050c2490048;kg
fresh water;Propiconazole;Emission to water;b59e355f-6836-48f5-b7af-25227df8e5d6;kg
lake;tertiary-Butyl Acetate;Emission to water;372b742b-60a7-457f-945c-deeb6ed5484f;kg
unspecified water;Pentanaldehyde;Emission to water;4bc18845-51dd-498a-9a48-ea2bcb5f4077;kg
fresh water, long-term;Antimony-124;Emission to water;9ae892fd-419e-4362-84bd-4447430be0d8;kBq
river;Chloropicrin;Emission to water;2e4ec2c3-ce89-4194-87a0-25cef03367be;kg
fresh water, long-term;Isoxaflutole;Emission to water;4c503303-9ddb-43e4-88dd-840de0852f94;kg
ocean;Radioactive species, from fission and activation;Emission to water;cd13af82-bcbf-4c27-bbf5-f07ed38b6294;kBq
ground water;tau-Fluvalinate;Emission to water;906f69ba-2289-4787-9599-d8917196df70;kg
unspecified water;Thiabendazole;Emission to water;b09d3a47-a72e-448b-8ce9-a32eee3fa7ff;kg
fossil-;Heptenophos;Emission to water;3c4145b3-e710-4daa-b0a9-810ceb3f2743;kg
lake;2-Propanol;Emission to water;cb876b18-5c70-4ef0-ae3a-1935fb89997b;kg
surface water;Acetaldehyde;Emission to water;7a65d41a-561b-4090-bd81-13672abce16f;kg
fresh water, long-term;Esfenvalerate;Emission to water;0beb694b-cf48-4863-8178-52b84cf7fd37;kg
unspecified water;Pymetrozine;Emission to water;8582aa81-5a07-4ad1-9ae7-352fd51ffe81;kg
ground water;Dinoseb;Emission to water;be9dd230-e7b0-4d50-b115-c108943e961a;kg
lake;2,4-D;Emission to water;250e84ed-6c30-43d2-9b74-bf5c3336187f;kg
unspecified water;bis(2-chloroethoxy)methane;Emission to water;dc06868d-0d76-4b7a-be33-3dfeebc3042c;kg
unspecified water;O-ANISIDINE;Emission to water;616699da-2c47-47c3-9324-1214a56b1d2f;kg
fossil-;Naled;Emission to water;1b8c1f3a-ef60-4894-b3f7-14f5e6fe96e3;kg
unspecified water;Copper sulfate, tri-basic;Emission to water;b527f1dd-0f5f-46f6-8bb2-ae83e63081f0;kg
unspecified water;Propaquizafop;Emission to water;b118c62c-3bde-4692-bbc0-c6786579e7d7;kg
river;Water, IAI Area 1;Emission to water;2e5924bd-a303-3800-9293-e3c3f08f4daf;m3
ground water, long-term;Azoxystrobin;Emission to water;82f2e2f5-7d98-4a8a-b8b3-6e4afef018ca;kg
lake;Thorium-230;Emission to water;1fc92346-b546-4eb4-9f2f-3f000c9b4ce6;kBq
river;t-Butylamine;Emission to water;c0f67658-78c1-44a0-b590-8c9b5e23982e;kg
fresh water;Plutonium-238;Emission to water;32cbe90d-6556-11dd-ad8b-0800200c9a66;kBq
river;Paraquat;Emission to water;4ec011eb-951d-482f-9690-de4672e919b3;kg
fresh water, long-term;Tolclophos-methyl;Emission to water;b72bd079-9c5d-40f4-b55f-9b59deea18b2;kg
surface water;DOC, Dissolved Organic Carbon;Emission to water;960c0f37-f34c-4fc1-b77c-22d8b35fd8d5;kg
ocean;1,2-dinitrobenzene;Emission to water;3f8dc032-85e3-48c3-8a4e-51a69d8042e3;kg
fresh water, long-term;Tri-allate;Emission to water;13659171-e8c9-45bf-9d16-e84a1557f342;kg
unspecified water;Crude oil;Emission to water;c6a75dc3-622e-3aea-a75b-997be17d8ec6;kg
river;Methyl methacrylate;Emission to water;f973afc1-59e9-4a5e-a3c1-54c85a839153;kg
ocean;DIETHANOLAMINE;Emission to water;566729c3-f584-4a83-8389-b65f1ac685a4;kg
fossil-;Methyl ethyl ketone;Emission to water;3e8d8e23-18f9-485d-a042-34d6c86bd3b9;kg
river;Ethylamine;Emission to water;8d725bba-c99c-4a7e-a0c8-03bc1f2f3e68;kg
lake;Fenbuconazole;Emission to water;cb76d354-c1d6-455b-9c89-b37fda72cf68;kg
unspecified water;SEC-BUTYL ALCOHOL;Emission to water;59fcf9d0-7f5c-4060-9172-5d7567dc8bc4;kg
ground water;Carbofuran;Emission to water;4f9403e8-a417-4ecd-bbca-951391d39519;kg
ground water;Naled;Emission to water;73c4fb4f-cd96-4bdc-9a97-ab187123561e;kg
unspecified water;Creosol;Emission to water;0e569f69-5c52-44cb-a55c-74a4bf43c24b;kg
fresh water, long-term;cyclohexylamine;Emission to water;ebb52516-7fa9-465d-b2bf-bbef02f7af8c;kg
fossil-;Tribenuron-methyl;Emission to water;20315c32-e7e7-4867-875e-7f17f0a8d22f;kg
fresh water;Dibenzofuran;Emission to water;e78ce6b3-ff85-401a-916f-1c5f9277d175;kg
river;maleic acid;Emission to water;ece00c99-d9dd-4663-b748-687ab73bad99;kg
fresh water;Dicrotophos;Emission to water;b483ee89-d703-4a78-b50b-5874841b6ff1;kg
river, long-term;Flutolanil;Emission to water;1ff41080-4d30-4140-a24d-7c246c958071;kg
ocean;Anthraquinone;Emission to water;f5ca5dc2-9a31-46d4-b9e2-1651d4280e66;kg
fossil-;Strontium;Emission to water;96856aaf-c7c3-4eab-8646-37ce1a3b3307;kg
ground water;4-Vinylcyclohexene;Emission to water;ac34023b-b8a8-4354-b5ae-74eb4082adf5;kg
ocean;Tributyltin-oxide;Emission to water;e694d53b-a908-46e3-8465-60b96d1a5ae5;kg
unspecified water;Hydrogen peroxide;Emission to water;c7be600c-e8ef-4e50-b092-1f9a3aa47706;kg
unspecified water;Permethrin;Emission to water;63e7fe60-8549-11e0-9d78-0800200c9a66;kg
lake;Amitraz;Emission to water;d23a22b9-7d2e-4cb6-a395-fe604b12acbd;kg
river, long-term;bis(n-octyl) phthalate;Emission to water;193fc3b9-47c4-4675-8e1a-076ee48bf294;kg
fresh water, long-term;1,4-dinitrobenzene;Emission to water;8e3d5796-4b83-47bf-9f06-5fffb95f759e;kg
fossil-;Clomazone;Emission to water;10c90974-d3b2-4fe1-9300-917c7a1b08af;kg
river, long-term;Acrylate, ion;Emission to water;20650ead-3321-43e6-b0fd-0a0187dc0f1e;kg
river;Xylene;Emission to water;54bc9132-df0b-4642-a6a1-2125fb8244dc;kg
fresh water;Piperonyl butoxide;Emission to water;5fdc7119-8aca-46ae-a977-2cde865a0fd3;kg
fossil-;Vinclozolin;Emission to water;01903e6e-fa22-4885-a759-153ccd59e4c0;kg
river, long-term;PYRIDINE;Emission to water;fcc8887e-334c-4ee0-98a6-6101dce3f5db;kg
ocean;Fludioxonil;Emission to water;cc272da3-f137-4526-b402-b589714be363;kg
fossil-;Chromium VI;Emission to water;9038efbe-6a55-4582-8637-02d7b5a10a8e;kg
unspecified water;hexazinone;Emission to water;c511f81f-72e5-4272-9d25-bd08f76c967b;kg
fresh water;Carbofuran;Emission to water;fb9622a6-2fc3-42a7-ae7c-a74bdb20abba;kg
river;Oxyfluorfen;Emission to water;4d2a0b66-d932-43a7-b6fe-caff435b6bcb;kg
river;Radium-224;Emission to water;84b6df35-fd4f-4ed6-afc7-fb3285a489e8;kBq
fresh water;Choline chloride;Emission to water;a83eb078-3fd6-4d95-a715-196082030f5e;kg
river;Halosulfuron-methyl;Emission to water;e9ce389b-5706-44ac-9cda-bf641e8b70c8;kg
fresh water, long-term;ACRYLAMIDE;Emission to water;f4813905-2fb1-4948-bb70-fe8efdd4826b;kg
ocean;Chlorsulfuron;Emission to water;64181b7a-623f-44c7-ba03-04d63105d1a9;kg
river;Fenoxaprop-P ethyl ester;Emission to water;f5e137ab-9034-4061-9bb9-276053db1990;kg
ground water, long-term;Mancozeb;Emission to water;01dbf755-4e65-4be2-8345-eeef40a82937;kg
unspecified water;Phenol, chloro-;Emission to water;a9e55e57-2f27-4f53-98f2-394e006448ee;kg
ground water;MALEIC ANHYDRIDE;Emission to water;9fca56d6-f743-4284-a97a-541b05cde769;kg
fresh water;Tebuconazole;Emission to water;41bd7731-b6d4-43bc-9e5a-66f7ce1260c9;kg
ground water, long-term;PYRIDINE;Emission to water;ac9be4db-014d-43c5-89e8-0e2d419cb556;kg
ground water;Acrylonitrile;Emission to water;ec9b8886-22ef-452b-9347-88dd1ab3a6a5;kg
unspecified water;Pseudomonas fluorescens;Emission to water;d9d94fec-2621-47b7-aaa4-ad759ebbd52d;kg
unspecified water;Nitrogen compounds;Emission to water;afc5211b-10f0-3c47-a54f-dac9a62c71e7;kg
unspecified water;Benzoyl peroxide;Emission to water;942fd353-92b1-4243-abb3-9513e62c233b;kg
ground water;BENZOIC TRICHLORIDE (BENZOTRICHLORIDE);Emission to water;7db06465-029e-4f75-a1f7-e965b699829e;kg
ground water;Mecoprop (ISO);Emission to water;111decaf-a58e-4dab-a583-c7d7b07e6df3;kg
ground water;Hydrogen sulfide;Emission to water;db945649-d0d5-4818-ab81-dc8579469a05;kg
unspecified water;2,6-Dinitrotoluene;Emission to water;e8991ca3-1f41-484e-b5a0-9e6054d68965;kg
ocean;Ethene;Emission to water;fc55a3d9-170e-4fe3-9be8-ddb4cc3b90fc;kg
fossil-;Niobium-95;Emission to water;c195995c-451f-4d55-ae84-adb38f06cb69;kBq
fresh water;Methane;Emission to water;d86cafee-6555-11dd-ad8b-0800200c9a66;kg
ground water;Vinclozolin;Emission to water;e4c9b87f-eddf-4be5-834b-183f8c7dd917;kg
ground water;Cesium-136;Emission to water;d690e120-d392-4145-909f-5c3c3c705b69;kBq
fossil-;Iprodion;Emission to water;5004b262-c496-4019-816a-e9dc394c4d30;kg
river;2,4-DINITROPHENOL;Emission to water;72fd7a30-1cff-4e09-8daf-f0ad5a9d4018;kg
fossil-;Hydrogen-3, Tritium;Emission to water;4075139e-3311-401a-b98c-e83f203063da;kBq
lake;Paclobutrazol;Emission to water;52f0fc53-4440-44be-b9ca-81965aca1d96;kg
river;Tributyltin-oxide;Emission to water;25b950e3-fb5e-4569-bdf1-17e71b98ba64;kg
lake;Fipronil;Emission to water;0dbe53ce-b0e7-4b50-9abd-82b993e97a16;kg
ground water;trans-1,2-Dichloroethylene;Emission to water;7c4fc618-fff3-428b-bc77-2df5fdd3a99d;kg
fossil-;Ammonium, ion;Emission to water;c04ef26d-7a0b-4ef4-a79f-d64a840866bc;kg
fresh water, long-term;Chromium VI;Emission to water;8f77e0ae-424c-4c54-87cb-cfbf6fb5bd43;kg
river, long-term;Simazine;Emission to water;594e7269-c153-4efb-b100-a3af0504a131;kg
river;Formate;Emission to water;e664d031-df45-4514-9b19-5104a7bfce75;kg
fresh water;Dicofol;Emission to water;7db3ae99-51d8-4b0f-9787-243f9d5ea3d9;kg
ground water;THIOUREA;Emission to water;478b56b8-ff35-42ca-aa63-81ec07e8ce33;kg
surface water;Hydrocarbons, aliphatic, unsaturated;Emission to water;19b55ff9-4964-45d1-95b6-e24d7f4ffbd3;kg
fresh water;Dimethylcarbamyl chloride;Emission to water;58540f84-59d7-4035-be3d-297f627cd3ff;kg
ground water, long-term;Fluometuron;Emission to water;1f08fb3b-e857-4f4b-9c0a-451207ff32f4;kg
ocean;Acetyl chloride;Emission to water;ec693fa1-9718-437a-8604-e916ff9d7b62;kg
unspecified water;Choline chloride;Emission to water;35d58c87-9c92-4498-89ca-7b49315dd079;kg
lake;Carfentrazone ethyl ester;Emission to water;6069d447-4be7-4fe3-988d-8b5ff0f269b5;kg
fresh water;1,4-DIOXANE;Emission to water;c41164bb-067a-491f-9940-39125c133f93;kg
ocean;Sulfosulfuron;Emission to water;ebca56dc-9cf9-41c9-83dd-504c217fcc14;kg
unspecified water;TRIFLUMIZOLE;Emission to water;ee535c3b-1486-4ffc-9342-c84e7d7fcc29;kg
river;Ethofumesate;Emission to water;198a504f-a073-4734-bd0d-e4ea06cd5862;kg
unspecified water;Triflusulfuron-methyl;Emission to water;b0822254-cc26-44a2-80d3-fa6b0393bdfd;kg
ocean;Metiram;Emission to water;a8ddd78c-6aad-423b-af40-f1f360adad7d;kg
river;Potassium, ion;Emission to water;de9f190b-f734-471b-9bec-37251e498cf8;kg
ocean;o-Phenylenediamine.2HCl;Emission to water;758ecb86-f3c5-40f0-abf8-49a7279b7311;kg
river, long-term;Creosol;Emission to water;cf7d5bb7-a0db-46f9-8613-98458e3a006f;kg
ground water;Propane sultone;Emission to water;2b509a63-aeb9-41ab-85ac-d3cf9c66653a;kg
river;Profenofos;Emission to water;08c529b1-277a-43c2-a1e0-3dd001bfd143;kg
ocean;Bromuconazole;Emission to water;f6e8c3cd-a7b2-4ddb-9fc5-6eef2351973d;kg
fresh water, long-term;isopropyl acetate;Emission to water;d55b04e8-32c0-4070-a359-72e99b604e8f;kg
fresh water;Azadirachtin;Emission to water;f65b6be9-2343-47b9-bed5-3603772627b1;kg
fossil-;Dinitrotoluene, technical grade (2,4 (77%)- and 2,6 (19%)-);Emission to water;ea526fc7-8bec-41c0-b138-f47091faa03c;kg
river, long-term;Iprodion;Emission to water;bff3bcbc-ca16-45e8-b33b-113e17387014;kg
fresh water, long-term;EPTC;Emission to water;5d618f4b-5ed6-44c8-870c-4316147df0ac;kg
ground water, long-term;Flumetsulam;Emission to water;5680d0ea-47bb-4137-8c69-e2fd671f297e;kg
lake;Lindane;Emission to water;0be4498f-cc1f-4fde-adcf-ec1bad208a3d;kg
lake;Diglycidyl resorcinol ether, technical grade;Emission to water;48e2cd59-80ac-4aef-a079-8589ffe4e5bc;kg
fresh water;Tri-allate;Emission to water;e3c26e4a-e9eb-4d04-8552-b95cbb3ff082;kg
ground water, long-term;Naphthalene, 2-methyl-;Emission to water;8ddbfbe0-14bc-4188-8ba4-5e88027c4f49;kg
ocean;Benzo(b,j,k)fluoranthene;Emission to water;3de2a11c-3172-4dc5-accd-532b5212f2b6;kg
ocean;Fuberidazole;Emission to water;f5669f44-4598-4fcc-ac8c-de4ee80ad1fa;kg
ocean;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Emission to water;2f4964a2-b288-4286-abc7-9efa4b064505;kg
ground water;o-Xylene;Emission to water;6c0719de-1bd9-4ae5-a0c6-37a58bad4ba1;kg
ground water;Clay, bentonite, in ground;Emission to water;9c5138ee-4616-47f1-b655-58049b242d30;kg
ocean;Chlorosulfonic acid;Emission to water;20a718fc-d376-4ca0-a7d5-a45026c936ab;kg
unspecified water;Tolylfluanid;Emission to water;ce186ac2-7053-44cc-a01a-a0621145d5bc;kg
fresh water;Butyl acetate;Emission to water;605f4376-2e06-4fdb-8ecb-505ccebeb2d7;kg
surface water;Cerium-144;Emission to water;6f020607-b818-408d-a4b0-2c6465a6826d;kBq
river, long-term;beta-butyrolactone;Emission to water;74feb8ce-3401-41c4-af02-e2ca233f957d;kg
river;Waste water/m3;Emission to water;6e323b42-84de-3746-bc4e-baea6f53e6ab;m3
lake;Cadmium, ion;Emission to water;ba29bfe3-17a6-4702-8b50-9b63884bf91c;kg
ocean;Cumene hydroperoxide;Emission to water;f5b5842c-9cf4-469f-9dae-0dba6739ab29;kg
fresh water;Thiodicarb;Emission to water;08f9f474-8a9f-4221-a4a9-15884a5dcbcd;kg
river;Ethyl acetate;Emission to water;70fbf094-6f91-43d1-b5a2-30bd70ee0062;kg
ground water;Desmetryn;Emission to water;d437bef6-11c9-4d07-9a3e-10233e0a1229;kg
fresh water;Dissolved solids;Emission to water;71ab2307-5ca5-4b22-9f13-3bac704c5e0c;kg
fossil-;Pyrithiobac sodium salt;Emission to water;fe58b732-fc53-46dd-8cfd-de77c23616d4;kg
river;2-Methyl-1-propanol;Emission to water;206424f5-a30c-451a-8d3c-c1379d7a63d5;kg
lake;Vinclozolin;Emission to water;8517180f-17c8-4f6c-b479-d9b18852e7db;kg
unspecified water;l-(+)-lactic acid;Emission to water;5bdeaa8e-699d-4a8c-88a2-ac6c8c77d964;kg
fresh water;1,4-dichlorobenzene;Emission to water;da7fe05e-5c5d-4395-addf-06ef6cfedcd2;kg
fossil-;Beryllium;Emission to water;eb80c206-f7c4-4765-9b22-b61dcdb6f0be;kg
ground water;Terbuthylazin;Emission to water;de4e2fb5-3e6b-4152-aae0-c14bbc75fc0e;kg
surface water;2-Aminopropanol;Emission to water;96db42b8-64e4-4a84-9b16-cd8f73c615d6;kg
river, long-term;Cumene hydroperoxide;Emission to water;cc1afd73-3e0c-4647-8507-df407c5281cd;kg
fresh water;Naphthalene;Emission to water;eb3a772f-958c-4b2e-8d0c-68d98459f70f;kg
fresh water;Antimony-125;Emission to water;10ec2732-3828-4232-914e-941c38bdd08b;kBq
lake;Pendimethalin;Emission to water;96351cef-e1cb-4a8a-8f88-98311c7e37dd;kg
ground water;Cyclohexane;Emission to water;e3dabe3a-e385-496d-8c84-288d45356c79;kg
river;Carbonate;Emission to water;f417a846-598d-40ea-a443-67afe4b8e4d0;kg
ocean;Tetrafluoroethylene (TFE);Emission to water;63bd2482-c7b8-4d78-90ec-dc0c14b5d94c;kg
lake;Titanium, ion;Emission to water;08ba90dc-28c6-4c48-8e90-51b61139734f;kg
unspecified water;Cupferron;Emission to water;6c97cc0f-eda8-4723-a599-2855cf670d59;kg
fresh water, long-term;Phorate;Emission to water;28df2e7c-f903-47dd-992f-086851452e47;kg
fresh water;Aldehydes, unspecified;Emission to water;37af7650-51e8-4f99-946c-3b123a5e8fb9;kg
river;Dicofol;Emission to water;26a910c5-52e2-4e70-8d84-a840ad765ec3;kg
river;Nitrogen, total;Emission to water;9539fcaa-e792-3181-8825-03c8eb6afea4;kg
lake;Aclonifen;Emission to water;fb24ca43-02ed-4f27-851f-01dd0232f4d8;kg
surface water;Iodine-129;Emission to water;9e689d4d-35b4-4c1c-b61f-2d915695bd2a;kBq
ground water, long-term;Naphthalene;Emission to water;ed02208b-eb4e-4aab-9d1e-c28d5db20a7c;kg
lake;Triazophos;Emission to water;12f47048-7287-4d15-8787-6f12a29c1f64;kg
river, long-term;tebuthiuron;Emission to water;a02eb425-f831-426f-8954-3ae4bd5b8418;kg
river;Rubidium;Emission to water;b6613136-6212-4d1d-9aba-3d6f70256fe1;kg
lake;TCMTB;Emission to water;356d8fad-a7ab-41e9-b7ec-590c1efb82a4;kg
river;1,4-dinitrobenzene;Emission to water;78b6779c-1a34-4dd4-b7f1-558a1bb279ca;kg
lake;Ethane, 1,1,1-trifluoro-2,2-chlorobromo-, Halon 2311;Emission to water;afda505c-9608-42ea-83a5-e23217f29b0d;kg
fresh water, long-term;Cobalt-60;Emission to water;30af7730-01ec-4836-a207-35fcb5931737;kBq
unspecified water;Cerium-141;Emission to water;c1666cdb-dfd8-4060-9e2a-3ded00878a2d;kBq
ground water, long-term;Bentazone;Emission to water;9521d501-0502-4f0b-b915-4129e1f7ef50;kg
fossil-;Chlorine;Emission to water;d5dfdd38-b575-497c-95cd-e6e633d3f602;kg
river;Acrylate, ion;Emission to water;73b7ed24-88c8-43f0-aace-29625a3d8ff2;kg
ground water;Carbetamide;Emission to water;220e1080-be7c-4841-90ee-e95484fa6a15;kg
ground water, long-term;Methidathion;Emission to water;18682e23-f14f-4cc8-beb2-fcd39629780a;kg
fresh water;MCPB;Emission to water;71e4ec97-95a5-4db2-933e-fdc6a243db07;kg
ocean;o-Toluidine.HCl;Emission to water;22629e56-d337-4dc4-80d6-cc2baa2ae066;kg
fresh water, long-term;Decane;Emission to water;f883c96f-fd07-4ae4-8299-0ed1f74e645c;kg
unspecified water;1,2-dinitrobenzene;Emission to water;01c2d312-92d9-4750-8175-a3437c7254b4;kg
fresh water;Cloquintocet-mexyl;Emission to water;5deaafe3-555f-4185-ac38-5ac7a23dd52c;kg
unspecified water;Water, MK;Emission to water;1e74759c-f865-3a12-bf79-6b1df1a9ebc3;m3
river;O-TOLUIDINE;Emission to water;ee5b7383-eb44-4211-ad8f-e5f17a37c53e;kg
fresh water;Ioxynil;Emission to water;0852738b-4fe9-41b1-b9a9-f0ece365ead4;kg
fresh water, long-term;Heptenophos;Emission to water;5d270da8-9686-4ba9-bb1c-ea11d06942cd;kg
river;Nitrogen oxides;Emission to water;bcd5fd42-2b56-45f7-a493-27b016c84f7b;kg
unspecified water;Lindane;Emission to water;d6febec0-3cde-415c-b26b-19fe62c48b98;kg
unspecified water;Bis(2-chloroethyl)ether;Emission to water;42992ce7-677d-4805-95b0-87d05298468f;kg
river;Maleic hydrazide;Emission to water;0a5fa96f-da07-46ec-b675-5870d1f28332;kg
lake;Thallium;Emission to water;27157a55-02d1-4f86-b3c0-69909cf433fe;kg
river;Hexachlorocyclopentadiene;Emission to water;062d147c-7181-402e-874f-43e3e7bfbf24;kg
unspecified water;2,6-xylidine;Emission to water;2d18acc3-1e86-46d9-9411-8a2982d9bad0;kg
unspecified water;Vanadium;Emission to water;63e8256e-8549-11e0-9d78-0800200c9a66;kg
ground water, long-term;Phenol, 2,4-dimethyl-;Emission to water;139ba455-09fb-4fbb-8224-14a10c4dc05a;kg
ocean;Benazolin;Emission to water;029bd014-32f2-405c-b8ee-4e8f88e68676;kg
unspecified water;Benzene, pentachloro-;Emission to water;dcca27fa-7675-421b-89cf-7076715e11ed;kg
lake;Ethane, 1,1,1-trichloro-, HCFC-140;Emission to water;6622090a-5efd-4553-add6-fe4bce9c0bb5;kg
fossil-;Cyclohexanone;Emission to water;2364d35b-fc36-43d1-98f3-fd510db9a246;kg
ground water, long-term;isobutyraldehyde;Emission to water;26874d33-c5ac-4aa9-b87e-8306dff99575;kg
ocean;Phthalate, dibutyl-;Emission to water;f74f45cd-431c-48a5-b0f7-dc4632089fb4;kg
river;Prosulfocarb;Emission to water;6d8ed85c-6c2a-4631-a8a7-7e2b96c3a707;kg
river, long-term;Phenol, pentachloro-;Emission to water;39035295-f689-4591-8c48-ede4c275f8e8;kg
ocean;Pentane;Emission to water;9549b8f5-b496-4b9d-9a44-d1ac4fc60a78;kg
fresh water;1-Chloropropene;Emission to water;696b2cc3-bda3-489d-8fcb-ba4701d7ccfc;kg
unspecified water;Deltamethrin;Emission to water;0eac1db1-a0e8-48c1-a341-e057dd2dd032;kg
fresh water, long-term;Silver-110;Emission to water;67c19573-200d-4457-aa4c-decd78a02ffb;kBq
fresh water;Mepiquat chloride;Emission to water;ec7aee2e-8da1-4b04-a001-6764d8d1fdc9;kg
river, long-term;methacrylic acid;Emission to water;e76f9de3-9b8e-4a5d-a957-ecda99bf592e;kg
ocean;Benzene, pentachloro-;Emission to water;79413c8c-7b72-4ccb-a9bf-9358b737ef7a;kg
ground water, long-term;1,2-Dibromo-3-chloropropane;Emission to water;ee14105a-49c6-4125-9093-45ab9be797f2;kg
fresh water, long-term;Ethane, 1,1,1-trichloro-, HCFC-140;Emission to water;d5e1742f-f8fa-46d4-b9e6-3b4afa7f74a7;kg
ocean;Benomyl;Emission to water;ace12cea-95a3-4d4c-9972-327c1beb61db;kg
unspecified water;isobutene;Emission to water;e11df2b2-3cea-41af-8cbf-bbd0c4cc4524;kg
ocean;Choline chloride;Emission to water;c766edf2-a9c7-415e-9332-c1e8e002eaa2;kg
lake;Dicloran;Emission to water;5ad88245-3b10-4868-8347-c446c9252bb9;kg
river;Vinclozolin;Emission to water;1848130f-74d0-4702-9fe7-b0cfe3446e98;kg
fossil-;1,3-PHENYLENEDIAMINE;Emission to water;9580fa15-b2c1-4e07-b1fb-674b33922ba8;kg
river;Sulfentrazone;Emission to water;c2752086-e415-4222-9335-f7a3882ff9e2;kg
unspecified water;Cumene;Emission to water;7a3b6567-5f36-4142-b390-15fbf940e206;kg
ground water, long-term;tertiary-Butyl Acetate;Emission to water;6d47e16e-b80a-4fc4-8bea-74c81c57d039;kg
river;Cyclanilide;Emission to water;adb69b0f-37d0-4966-be13-f45ec31f4530;kg
ground water;terbacil;Emission to water;5c7ecc0d-9654-484e-9da5-8c7d57ec8ba5;kg
fresh water;terbacil;Emission to water;d7c57ada-d27e-4818-8e60-7b57d9b47d08;kg
ocean;Fenpropimorph (cis);Emission to water;605bb041-990e-4761-81c0-6b9ad5bd6001;kg
surface water;Suspended solids, unspecified;Emission to water;3844f446-ded5-4727-8421-17a00ef4eba7;kg
ground water;Protactinium-234;Emission to water;769d4ef0-455c-42a8-9eea-92ede2690ad8;kBq
unspecified water;Formamide;Emission to water;f127acc1-4904-448c-9b46-e0c4d2da8bda;kg
unspecified water;N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide;Emission to water;0b9149b8-1d9c-447e-8eb3-59b552491434;kg
river, long-term;Cobalt;Emission to water;60d974d3-22dd-41ce-81f7-852ac047cf4f;kg
lake;Desmedipham;Emission to water;8bf37bf1-e2c0-489d-a84d-8ffee313779b;kg
unspecified water;Gibberellic acid;Emission to water;82baaabe-dfb1-42d2-a6f7-c8f74363a224;kg
ocean;2,4,6-Trichlorophenol;Emission to water;eda17e2f-e3f1-4b1f-b672-367ed853033c;kg
unspecified water;Radioactive species, from fission and activation;Emission to water;33fe9178-c7f7-4ebe-950a-8cbd1e799424;kBq
unspecified water;Nitrogenous Matter, unspecified, as N;Emission to water;938a1dfd-7aa3-49ae-828c-4ffd20264fab;kg
river;3,3-Dichlorobenzidine;Emission to water;ebc31d1f-6b10-4116-b2ff-934f7646ec83;kg
ground water;Aniline;Emission to water;044b9b1d-0406-4da9-bc8a-f180176e7ed9;kg
unspecified water;Nitrogen;Emission to water;dcfe0815-6fa3-4e1d-a55e-155b29904f1d;kg
unspecified water;Prosulfocarb;Emission to water;680cdd9b-a6d5-4d82-8d8f-725df9a0b91a;kg
fresh water;Inorganic dissolved matter (unspecified);Emission to water;f0839df0-73ed-46ce-9277-fc494846bcd8;kg
ocean;Chlorfenvinphos;Emission to water;6e921082-87ca-45a3-905b-d850481fa9a2;kg
fresh water;Styrene;Emission to water;777a03c9-0e1f-44f0-a507-2032473a6f31;kg
fresh water, long-term;Chloroacetic acid;Emission to water;49f85f0a-ad9e-4c56-9f22-79e21b26e37f;kg
fresh water, long-term;Acetaldehyde;Emission to water;9da8ed40-9156-4fd1-af2b-f8c7cb71ddf5;kg
ground water;Bifenox;Emission to water;80727deb-c9c8-43bd-984c-17280896c480;kg
river, long-term;Fenpiclonil;Emission to water;cae69ad7-3508-4bfd-9abf-8d34b7cdeeb9;kg
lake;2,4,6-trinitrotoluene;Emission to water;44d5512e-8444-453c-97fd-09f6d012fc68;kg
lake;Iron-59;Emission to water;ff38db0c-999b-4605-bf6e-966de662bca0;kBq
fossil-;tau-Fluvalinate;Emission to water;06712273-8e47-4516-88a0-2e0ff5eabe4c;kg
ocean;Chromium, ion;Emission to water;d98f0ec0-bf19-4c90-a457-a8593dec497f;kg
ground water, long-term;Radioactive species, from fission and activation;Emission to water;e9a2a465-ee3b-4edf-9933-80bbe0340f51;kBq
ground water;Nitrite;Emission to water;9a98be81-7711-4a1b-adc0-8e65acf05d62;kg
ocean;VOC, volatile organic compounds, unspecified origin;Emission to water;113746e5-66a9-4d8c-b72b-4a99e7fcd052;kg
ground water, long-term;Oxytetracycline;Emission to water;d7b35a99-186b-4302-b190-68c3b7b7d25a;kg
ground water, long-term;Alachlor;Emission to water;9c34ee93-4e4c-49a1-95b2-d4f78991473e;kg
ocean;sec-Butyl Acetate;Emission to water;698ecc62-4fe9-4ec4-8d0e-16dd920b1c39;kg
surface water;Water (fresh water);Emission to water;4ee18a71-8635-4a40-af0d-79c01d58077d;kg
ground water, long-term;Dimethylcarbamyl chloride;Emission to water;9c120645-bb95-4abb-88ae-001cf99f6e50;kg
