categories;type;exchanges;name;unit;code;database
('air', 'urban air close to ground');emission;[];Carbon monoxide, non-fossil;kilogram;9afa0173-ecbd-4f2c-9c5c-b3128a032812;biosphere3
('water', 'surface water');emission;[];Ethane, 1,2-dichloro-;kilogram;250dd08a-ee61-4a2b-86f8-b21e9ebe6ed9;biosphere3
('air',);emission;[];Krypton-88;kilo Becquerel;d350156f-e614-4206-9949-02de6f45f5ab;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Manganese;kilogram;42053ffb-9284-49cb-88f9-33ac5c77be4a;biosphere3
('water', 'ocean');emission;[];Acidity, unspecified;kilogram;372dc06d-0cc9-4f85-9e00-9d452f2d3c7a;biosphere3
('water', 'ocean');emission;[];Actinides, radioactive, unspecified;kilo Becquerel;34550110-0552-46d2-b07d-6b9599892278;biosphere3
('air',);emission;[];Cyanide;kilogram;d3e038e1-728c-4dea-ac30-c9abbbfcbc84;biosphere3
('soil', 'agricultural');emission;[];Chloridazon;kilogram;2e3da68d-e404-4377-bce9-b35244980811;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Xenon-138;kilo Becquerel;cf12e6aa-1e5a-40d0-90d6-1ca8e58e9b89;biosphere3
('water', 'ground-, long-term');emission;[];Molybdenum-99;kilo Becquerel;396309cb-c6b2-4105-ab6a-a5a671f6edbf;biosphere3
('water', 'surface water');emission;[];Cesium-137;kilo Becquerel;42901ad7-4be5-47d9-82cd-380ca34281c1;biosphere3
('air', 'urban air close to ground');emission;[];Radioactive species, other beta emitters;kilo Becquerel;bc13f992-b93e-4ef3-921a-2898e7674a7c;biosphere3
('water', 'surface water');emission;[];Protactinium-234;kilo Becquerel;34d04e86-d650-4f1e-96d5-7f09132fddcc;biosphere3
('air',);emission;[];2-Aminopropanol;kilogram;3e07d825-a98e-4cdc-afa3-610fa7739261;biosphere3
('water',);emission;[];Chlorate;kilogram;024e919d-91ee-47c7-9f0b-ebe851cc61fb;biosphere3
('water', 'ground-, long-term');emission;[];PAH, polycyclic aromatic hydrocarbons;kilogram;edef6579-93cd-4971-98ac-4241071af450;biosphere3
('natural resource', 'in ground');natural resource;[];Pyrolusite, in ground;kilogram;aaceb467-2e6a-464e-9a0f-2545e31850ba;biosphere3
('air', 'low population density, long-term');emission;[];Sodium formate;kilogram;e7909b88-81ef-49d8-8ed0-382ce148ef26;biosphere3
('soil', 'agricultural');emission;[];Profenofos;kilogram;cab8d859-018a-4919-9324-f3febdea35e0;biosphere3
('water', 'surface water');emission;[];Americium-241;kilo Becquerel;a3102816-c649-4240-b0d1-0e60b08371ec;biosphere3
('water', 'surface water');emission;[];Isopropylamine;kilogram;2b178c09-89d4-49be-afbb-ec21bc158d9c;biosphere3
('water', 'ocean');emission;[];COD, Chemical Oxygen Demand;kilogram;ec76fb5c-b402-416b-825c-53e074fe7525;biosphere3
('air', 'low population density, long-term');emission;[];Lead-210;kilo Becquerel;141ec03e-9ec3-4cfe-853d-37cc66e1c333;biosphere3
('soil', 'agricultural');emission;[];Fluazinam;kilogram;c9125373-0841-4515-9eaf-1bf9a49d51f8;biosphere3
('air',);emission;[];Monoethanolamine;kilogram;9f550c00-0f0f-45e7-a29c-a450752d4c7a;biosphere3
('air', 'low population density, long-term');emission;[];Polychlorinated biphenyls;kilogram;5d691e58-2074-4661-8525-d98a173e1c99;biosphere3
('natural resource', 'in ground');natural resource;[];Silver, 0.01% in crude ore, in ground;kilogram;bc153c00-6c93-412f-aadc-750f2fc6f9c7;biosphere3
('soil', 'agricultural');emission;[];Picoxystrobin;kilogram;1a7fba0e-91a3-4ac2-a58e-44575eeed078;biosphere3
('air', 'low population density, long-term');emission;[];2-Aminopropanol;kilogram;cdce48e7-8c92-4214-b948-cc46a4700fe6;biosphere3
('water', 'ground-, long-term');emission;[];Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;kilogram;cce10142-69c4-4a72-a010-ac6b6abad1d3;biosphere3
('water',);emission;[];Carboxylic acids, unspecified;kilogram;017be306-b88a-4d3a-a906-b8734b72b6fb;biosphere3
('soil', 'agricultural');emission;[];2,4-D ester;kilogram;6986913c-284b-4173-95fe-4a242498b1bc;biosphere3
('water', 'ocean');emission;[];1-Pentene;kilogram;9d99096b-4e70-452b-9e3b-b2296613bc0f;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Magnesium;kilogram;24da5f03-1b1e-4a60-a925-248122c9d2a0;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Butadiene;kilogram;91c76c8e-d725-475d-9be6-a90b99747075;biosphere3
('natural resource', 'in water');natural resource;[];Water, salt, sole;cubic meter;79238018-8ec1-4615-9469-2b0df95a43c3;biosphere3
('natural resource', 'land');natural resource;[];Occupation, annual crop, non-irrigated;square meter-year;a6889a22-e99e-42ea-85cd-4a68d7975dcd;biosphere3
('soil', 'agricultural');emission;[];Fipronil;kilogram;b7cd268b-1b52-45f1-91fe-cd51bf59d21d;biosphere3
('air',);emission;[];Hydrogen;kilogram;b301fa9a-ba60-4eac-8ccc-6ccbdf099b35;biosphere3
('water',);emission;[];Protactinium-234;kilo Becquerel;d68ebacc-8799-48f8-aab6-d366b851690b;biosphere3
('air', 'low population density, long-term');emission;[];Methyl formate;kilogram;2563243b-9991-4fb4-bfe7-4239c25de7db;biosphere3
('water', 'ground-');emission;[];Diborane;kilogram;251b1db4-29e6-4312-bc30-ef7ae34aaaa3;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Sodium dichromate;kilogram;f714e13b-86ef-4cd2-8248-2495f1a2d2e4;biosphere3
('natural resource', 'in ground');natural resource;[];Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground;kilogram;73b7f080-b7ae-417c-b740-b4c9eabfb35a;biosphere3
('air', 'urban air close to ground');emission;[];Hydrogen-3, Tritium;kilo Becquerel;b772118d-cb3e-4330-aa01-317b04703cb2;biosphere3
('water', 'ground-, long-term');emission;[];Chromium VI;kilogram;ef475b50-9cd0-4e7c-9c59-07868fe16e91;biosphere3
